nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Cyrtodactylus louisiadensis,18.09,50.49,26.9.1930,540,lidska obydli,200,18,9,20,43
Mazama gouazoubira,16.03,51.15,11.11.2011,670,louka,202,32,31,19,8
Zonotrichia capensis,16.19,49.11,15.3.1965,619,lidska obydli,200,32,21,47,46
Gazella thompsonii,18.39,50.87,23.6.1928,937,doubravy,206,15,49,49,23
Acrobates pygmaeus,18.75,49.13,30.8.2005,940,mocaly,207,9,27,35,41
Cynictis penicillata,16.93,50.75,4.4.1930,618,Skalní stepi na vápensových podkladech,215,11,5,10,36
Dendrohyrax brucel,18.41,48.89,3.4.1941,1030,slatiny,217,43,36,11,31
Gyps fulvus,14.83,50.03,21.10.1939,678,les,301,39,40,8,47
Isoodon obesulus,15.11,49.47,21.7.2009,702,Skalní stepi na vápensových podkladech,215,29,22,13,1
unavailable,13.99,48.55,7.8.1997,993,louka,202,16,13,47,16
Lamprotornis nitens,18.41,50.55,26.3.1954,1057,nahodny biotop,24,45,48,14,43
Corallus hortulanus cooki,17.93,50.05,15.12.1938,1119,biotop b,7,8,49,48,30
Dasypus novemcinctus,16.19,50.43,6.12.1952,915,skály nižších a středních výšek,308,35,10,18,44
Varanus sp.,18.85,49.33,27.1.1961,999,biotop a,326,0,27,0,20
Tachyglossus aculeatus,16.27,49.13,5.6.1900,521,skály nižších a středních výšek,308,8,17,28,46
Ursus americanus,14.25,48.57,8.10.1930,571,xerotermni tentononc,310,47,7,4,35
Microcebus murinus,12.67,51.07,25.2.1951,662,Skalní stepi na vápensových podkladech,215,45,41,49,47
Loxodonta africana,14.07,48.71,15.7.1943,678,biotop a,326,9,4,12,23
Lycaon pictus,15.19,48.95,27.6.1920,783,Skalní stepi na vápensových podkladech,215,8,4,11,30
Chlidonias leucopterus,15.45,48.65,21.9.1938,687,nahodny biotop,24,50,43,32,38
Morelia spilotes variegata,16.87,50.79,30.4.1963,707,mocaly,207,50,12,36,45
Hippotragus equinus,17.79,49.45,4.10.2014,516,biotop b,7,33,36,39,4
unavailable,18.47,50.31,24.1.1927,1063,nahodny biotop,24,29,34,34,21
Dicrurus adsimilis,18.47,49.39,7.11.1981,638,lidska obydli,200,31,38,10,37
Nyctereutes procyonoides,15.31,49.87,7.4.1967,1029,lidska obydli,200,14,10,35,7
Diomedea irrorata,18.19,50.53,20.2.2014,562,biotop b,7,31,26,30,29
Macropus agilis,16.19,49.99,6.10.1934,1150,louka,202,39,0,8,27
Canis aureus,18.55,48.41,26.5.1963,1043,Skalní stepi na vápensových podkladech,215,20,47,3,27
Anastomus oscitans,15.71,50.55,4.7.1974,533,doubravy,206,4,41,5,39
Anthropoides paradisea,16.35,48.73,29.6.1984,1035,suťové lesy,327,42,43,3,43
Mycteria ibis,17.59,49.39,2.3.1938,637,les,301,31,41,17,35
Milvus migrans,13.63,48.47,9.8.2003,1164,xerotermni tentononc,310,8,23,28,49
Nasua narica,12.69,49.67,27.4.1989,642,bazina,369,50,13,12,2
Mazama gouazoubira,16.87,48.85,24.11.1983,1119,slatiny,217,38,36,35,10
Phalacrocorax niger,18.21,50.69,6.8.1998,825,les,301,46,38,43,24
Lasiorhinus latifrons,17.89,50.71,24.10.1944,927,biotop a,326,13,20,14,6
Cordylus giganteus,12.39,49.55,8.3.1984,948,biotop a,326,3,38,38,17
Antidorcas marsupialis,13.21,50.83,5.2.1948,646,suťové lesy,327,44,21,45,41
Alcelaphus buselaphus cokii,16.43,50.27,23.4.2013,534,bazina,369,33,5,48,13
Myrmecophaga tridactyla,14.61,50.53,12.1.1962,861,xerotermni tentononc,310,43,43,6,50
Alcelaphus buselaphus cokii,13.77,51.19,8.9.1936,519,xerotermni tentononc,310,8,44,4,23
Bassariscus astutus,14.73,49.11,23.5.1924,777,les,301,18,21,7,19
Turtur chalcospilos,13.03,49.75,24.12.1958,1041,lidska obydli,200,28,34,25,31
Morelia spilotes variegata,13.33,51.11,20.12.1983,653,biotop b,7,2,38,10,42
Ciconia episcopus,17.33,49.91,12.9.1942,757,skály nižších a středních výšek,308,31,23,17,1
Falco mexicanus,15.03,50.37,18.4.1940,901,skály nižších a středních výšek,308,11,0,26,11
Sciurus niger,14.43,48.65,30.11.1904,837,lidska obydli,200,40,7,32,2
Vanellus chilensis,13.41,48.51,26.5.1931,1113,lidska obydli,200,9,29,32,10
Chlamydosaurus kingii,12.45,48.87,8.8.1935,572,xerotermni tentononc,310,40,25,36,8
Lemur fulvus,14.83,49.49,4.8.1950,662,suťové lesy,327,47,25,28,1
Zonotrichia capensis,16.75,51.07,11.10.1994,769,bazina,369,48,26,25,18
Corvus albicollis,12.31,50.35,14.8.1900,647,lidska obydli,200,6,24,3,10
Laniaurius atrococcineus,17.43,49.21,17.1.1951,1168,biotop b,7,47,4,0,2
Phalacrocorax carbo,17.51,48.69,12.10.1988,1106,bazina,369,48,45,45,34
Anastomus oscitans,17.29,50.49,16.2.1922,653,mocaly,207,37,6,28,37
Ovis dalli stonei,17.99,50.71,16.9.1956,637,louka,202,28,29,3,50
Actophilornis africanus,12.65,50.15,19.7.1988,824,mocaly,207,3,26,43,42
Pteronura brasiliensis,14.79,51.13,7.5.1971,913,les,301,4,4,33,20
Ceratotherium simum,17.91,49.79,22.11.2014,548,biotop b,7,5,48,24,44
Geochelone elegans,12.13,48.53,16.10.1913,1034,Skalní stepi na vápensových podkladech,215,6,11,37,30
Giraffe camelopardalis,12.53,51.15,24.8.2007,1096,biotop b,7,48,25,20,7
Hyaena hyaena,17.51,50.51,21.7.1946,593,louka,202,32,46,44,15
Trichechus inunguis,18.85,51.05,15.6.1943,606,biotop b,7,46,37,31,43
Podargus strigoides,12.21,50.85,24.8.1925,1158,xerotermni tentononc,310,43,41,49,24
Dasypus novemcinctus,14.45,48.69,8.4.1929,1183,louka,202,20,48,5,3
Pteronura brasiliensis,12.73,51.05,17.9.1949,976,les,301,21,29,30,23
Ceratotherium simum,15.11,48.55,12.7.1943,823,skály nižších a středních výšek,308,36,14,38,46
Varanus salvator,16.93,49.93,8.1.1977,992,suťové lesy,327,37,11,11,17
Microcebus murinus,18.71,51.19,12.3.1964,1188,mocaly,207,41,47,11,32
Dusicyon thous,12.33,49.79,17.6.1954,697,mocaly,207,37,35,20,22
Struthio camelus,12.15,48.83,16.5.1909,749,doubravy,206,14,32,21,5
Limosa haemastica,18.09,49.29,2.1.2010,982,les,301,24,2,6,22
Zalophus californicus,13.81,50.49,7.9.1942,1147,xerotermni tentononc,310,31,12,25,30
Bradypus tridactylus,12.47,48.45,24.8.1912,527,Skalní stepi na vápensových podkladech,215,18,6,16,50
